date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol
2015-01-02T00:00:00.000Z,109.33,111.44,107.35,111.39,53204626,24.4340663602,24.9056284202,23.9915578869,24.8944539638,212818504,0.0,1.0,AAPL
2015-01-05T00:00:00.000Z,106.25,108.65,105.41,108.29,64285491,23.7457198461,24.2820937532,23.5579889786,24.2016376672,257141964,0.0,1.0,AAPL
2015-01-06T00:00:00.000Z,106.26,107.43,104.63,106.54,65797116,23.7479547374,24.0094370171,23.3836674588,23.8105316932,263188464,0.0,1.0,AAPL
2015-01-07T00:00:00.000Z,107.75,108.2,106.695,107.2,40105934,24.0809535381,24.1815236456,23.845172508,23.9580345177,160423736,0.0,1.0,AAPL
2015-01-08T00:00:00.000Z,111.89,112.15,108.7,109.23,59364547,25.0061985278,25.0643057011,24.2932682096,24.4117174474,237458188,0.0,1.0,AAPL
2015-01-09T00:00:00.000Z,112.01,113.25,110.21,112.67,53315099,25.0330172232,25.3101437418,24.6307367928,25.1805200476,213260396,0.0,1.0,AAPL
2015-01-12T00:00:00.000Z,109.25,112.63,108.8,112.6,49650790,24.41618723,25.1715804825,24.3156171224,25.1648758087,198603160,0.0,1.0,AAPL
2015-01-13T00:00:00.000Z,110.22,112.8,108.91,111.43,67091928,24.6329716841,25.2095736343,24.3402009265,24.903393529,268367712,0.0,1.0,AAPL
2015-01-14T00:00:00.000Z,109.8,110.49,108.5,109.04,48956588,24.5391062504,24.6933137487,24.248570384,24.3692545131,195826352,0.0,1.0,AAPL
2015-01-15T00:00:00.000Z,106.82,110.06,106.66,110.0,60013996,23.873108649,24.5972134236,23.8373503886,24.583804076,240055984,0.0,1.0,AAPL
2015-01-16T00:00:00.000Z,105.99,107.58,105.2,107.03,78513345,23.6876126728,24.0429603863,23.5110562617,23.9200413659,314053380,0.0,1.0,AAPL
2015-01-20T00:00:00.000Z,108.72,108.9667,106.5,107.84,49899907,24.2977379922,24.35287276,23.8015921281,24.1010675596,199599628,0.0,1.0,AAPL
2015-01-21T00:00:00.000Z,109.55,111.06,108.27,108.95,48575897,24.4832339684,24.8207025516,24.1971678846,24.3491404916,194303588,0.0,1.0,AAPL
2015-01-22T00:00:00.000Z,112.4,112.47,109.72,110.26,53796409,25.1201779831,25.135822222,24.5212271201,24.6419112492,215185636,0.0,1.0,AAPL
2015-01-23T00:00:00.000Z,112.98,113.75,111.53,112.3,46464828,25.2498016773,25.4218883058,24.9257424418,25.0978290703,185859312,0.0,1.0,AAPL
2015-01-26T00:00:00.000Z,113.1,114.3626,112.8,113.74,55614979,25.2766203727,25.5587977456,25.2095736343,25.4196534146,222459916,0.0,1.0,AAPL
2015-01-27T00:00:00.000Z,109.14,112.48,109.03,112.42,95568749,24.3916034259,25.1380571133,24.3670196218,25.1246477656,382274996,0.0,1.0,AAPL
